Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Salary,WS_per_G,OWS_per_G,DWS_per_G,AST_TOV,OWS_div_USG,TS_times_USG,bigmanD,foul_rate,three_rate,PTs_per_36,PF_per_dplay,FG_TOV,two_way
Ryan Arcidiacono,PG,28,TOT,20,4,8.6,0.5,1.9,0.243,0.4,1.2,0.348,0.1,0.7,0.071,0.351,0.0,0.0,0.7567566964285714,0.0,0.8,0.8,1.2,0.3,0.0,0.4,0.9,1.3,2.7,0.351,0.622,0.0,0.0,10.0,5.0,16.9,1.4,0.0,15.9,11.1,-0.2,0.1,-0.2,-0.043,-7.3,-1.5,-8.8,-0.3,1.83609,-1.0,-1.0,0.5,2.9999999999999996,-0.018018018018018018,3.8960999999999997,0.12790697674418605,0.10465116279069768,38.70967741935484,5.44186046511628,3.0,2.25,1.35
Deni Avdija,SF,22,WAS,76,40,26.6,3.3,7.6,0.437,0.9,3.1,0.297,2.4,4.6,0.53,0.497,1.6,2.2,0.739,1.0,5.4,6.4,2.8,0.9,0.4,1.6,2.8,9.2,11.2,0.535,0.401,0.285,4.2,21.9,13.4,13.9,1.6,1.2,15.9,16.7,0.0,2.3,2.3,0.054,-2.8,0.5,-2.3,-0.1,4.91616,3.026315789473684,0.0,3.026315789473684,1.7499999999999998,0.0,8.9345,0.2518796992481203,0.10526315789473684,28.971962616822434,12.451127819548871,2.1538461538461537,2.625,33.89473684210526
Deandre Ayton,C,24,PHO,67,67,30.4,7.8,13.2,0.589,0.1,0.4,0.292,7.7,12.9,0.597,0.592,2.3,3.0,0.76,2.6,7.4,10.0,1.7,0.6,0.8,1.8,2.8,18.0,19.9,0.617,0.027,0.225,9.2,27.5,18.1,9.2,0.9,2.3,11.0,22.9,3.3,3.0,6.2,0.147,0.9,0.0,0.9,1.5,30.91375,9.253731343283581,4.925373134328358,4.477611940298507,0.9444444444444444,0.14410480349344978,14.129299999999999,0.2894736842105263,0.09210526315789473,2.9411764705882355,21.315789473684212,2.0,4.388888888888888,89.10447761194028
Udoka Azubuike,C,23,UTA,36,4,10.0,1.6,2.0,0.819,0.0,0.0,0.15,1.6,2.0,0.819,0.819,0.2,0.6,0.35,0.9,2.4,3.3,0.3,0.2,0.4,0.5,0.9,3.5,16.1,0.774,0.0,0.278,9.5,26.1,17.9,4.3,0.8,3.5,18.2,11.5,0.6,0.4,1.0,0.134,-1.2,0.5,-0.6,0.1,2.17488,2.7777777777777777,1.6666666666666667,1.1111111111111112,0.6,0.05217391304347826,8.901,0.3,0.09,0.0,12.6,1.4999999999999998,3.2,17.888888888888893
Marvin Bagley III,C,23,DET,42,25,23.6,4.8,9.1,0.529,0.5,1.6,0.288,4.4,7.5,0.579,0.554,1.9,2.6,0.75,2.2,4.2,6.4,0.9,0.5,0.7,1.1,1.9,12.0,17.2,0.587,0.173,0.283,10.2,20.2,15.1,5.9,0.9,2.7,9.7,20.4,1.3,0.7,2.0,0.095,0.3,-1.2,-0.9,0.3,12.5,4.761904761904762,3.0952380952380953,1.6666666666666667,0.8181818181818181,0.06372549019607844,11.974799999999998,0.2288135593220339,0.08050847457627118,14.953271028037385,18.305084745762713,1.5833333333333333,4.8181818181818175,28.666666666666668
Patrick Baldwin Jr.,SF,20,GSW,31,0,7.3,1.4,3.5,0.394,1.0,2.7,0.381,0.4,0.8,0.44,0.541,0.1,0.2,0.667,0.0,1.3,1.3,0.4,0.2,0.1,0.4,0.5,3.9,11.3,0.546,0.771,0.055,0.5,18.6,9.7,6.9,1.3,1.6,9.0,22.8,-0.1,0.3,0.1,0.029,-0.7,-1.4,-2.1,0.0,2.226,0.3225806451612903,-0.3225806451612903,0.967741935483871,1.0,-0.0043859649122807015,12.448800000000002,0.21917808219178084,0.0684931506849315,43.54838709677419,19.232876712328768,1.6666666666666665,5.999999999999999,10.935483870967744
LaMelo Ball,PG,21,CHO,36,36,35.2,8.2,20.0,0.411,4.0,10.6,0.376,4.2,9.4,0.45,0.51,2.8,3.4,0.836,1.2,5.3,6.4,8.4,1.3,0.3,3.6,3.3,23.3,17.9,0.541,0.531,0.169,3.5,16.2,9.7,38.7,1.7,0.8,14.3,30.0,0.6,1.2,1.8,0.068,3.2,-0.8,2.4,1.4,8.62392,5.0,1.6666666666666667,3.3333333333333335,2.3333333333333335,0.02,16.23,0.19602272727272727,0.09374999999999999,34.64052287581699,23.829545454545453,2.0624999999999996,3.3888888888888884,59.666666666666664
Mo Bamba,C,24,TOT,49,7,15.7,2.4,4.9,0.485,1.0,2.5,0.387,1.4,2.4,0.59,0.585,0.8,1.3,0.661,1.2,3.4,4.6,0.9,0.3,0.9,0.6,2.1,6.6,15.7,0.602,0.515,0.257,8.5,24.2,16.4,8.7,0.8,5.3,10.1,16.6,1.1,1.1,2.2,0.139,-0.2,0.7,0.5,0.5,10.3,4.4897959183673475,2.2448979591836737,2.2448979591836737,1.5,0.06626506024096386,9.9932,0.2929936305732484,0.1337579617834395,33.78378378378378,15.13375796178344,1.7500000000000002,5.666666666666667,35.244897959183675
Paolo Banchero,PF,20,ORL,72,72,33.8,6.7,15.6,0.427,1.2,4.0,0.298,5.5,11.6,0.471,0.465,5.5,7.4,0.738,1.2,5.7,6.9,3.7,0.8,0.5,2.8,2.2,20.0,14.9,0.529,0.254,0.476,3.9,19.3,11.6,17.2,1.2,1.5,12.8,27.5,-0.3,2.6,2.4,0.047,-0.7,-0.7,-1.5,0.3,11.05512,3.3333333333333335,-0.4166666666666667,3.6111111111111116,1.3214285714285716,-0.010909090909090908,14.547500000000001,0.20710059171597636,0.06508875739644972,20.40816326530612,21.301775147928996,1.6923076923076923,2.8214285714285716,53.805555555555564
Desmond Bane,SG,24,MEM,58,58,31.7,7.8,16.2,0.479,2.9,7.0,0.408,4.9,9.2,0.534,0.568,3.1,3.5,0.883,0.7,4.3,5.0,4.4,1.0,0.4,2.2,2.6,21.5,19.1,0.606,0.433,0.218,2.5,14.3,8.4,20.8,1.4,1.1,10.9,26.1,3.5,2.3,5.8,0.151,3.3,0.1,3.5,2.5,2.13024,10.0,6.0344827586206895,3.96551724137931,2.0,0.13409961685823754,15.816600000000001,0.17981072555205047,0.08201892744479496,30.17241379310345,24.41640378548896,1.8571428571428574,4.863636363636363,75.74137931034483
Dalano Banton,PG,23,TOR,31,2,9.0,1.8,4.2,0.423,0.5,1.6,0.294,1.3,2.5,0.506,0.481,0.5,0.8,0.708,0.4,1.1,1.5,1.2,0.4,0.4,0.6,1.1,4.6,14.9,0.505,0.392,0.185,4.2,14.9,9.1,19.3,2.3,4.5,11.4,24.2,0.0,0.4,0.4,0.064,-1.1,0.6,-0.5,0.1,1.563518,1.2903225806451613,0.0,1.2903225806451613,2.0,0.0,12.221,0.21111111111111114,0.12222222222222223,27.586206896551722,18.4,1.375,3.833333333333333,19.225806451612904
Dominick Barlow,SF,19,SAS,28,0,14.6,1.6,3.1,0.535,0.0,0.1,0.0,1.6,2.9,0.561,0.535,0.6,0.9,0.72,1.6,2.0,3.6,0.9,0.4,0.7,0.5,2.0,3.9,12.4,0.567,0.047,0.291,11.9,15.6,13.7,7.6,1.2,3.8,13.4,11.3,0.5,0.2,0.7,0.082,-3.7,-0.8,-4.5,-0.3,0.50891,2.5,1.7857142857142856,0.7142857142857143,1.8,0.04424778761061947,6.4071,0.2123287671232877,0.136986301369863,3.125,9.616438356164384,1.8181818181818181,3.2,8.857142857142858
Harrison Barnes,PF,30,SAC,82,82,32.5,4.6,9.6,0.473,1.6,4.3,0.374,3.0,5.3,0.553,0.556,4.3,5.0,0.847,1.1,3.4,4.5,1.6,0.7,0.1,1.0,1.3,15.0,14.1,0.632,0.446,0.522,3.8,11.9,7.9,6.3,1.0,0.3,8.1,17.1,5.1,1.4,6.5,0.118,0.5,-1.5,-1.0,0.7,18.352273,7.926829268292683,6.2195121951219505,1.7073170731707314,1.6,0.29824561403508765,10.807200000000002,0.12923076923076923,0.04,30.935251798561154,16.615384615384617,1.6250000000000002,6.199999999999999,24.073170731707314
Scottie Barnes,PF,21,TOR,77,76,34.8,6.0,13.2,0.456,0.8,2.9,0.281,5.2,10.3,0.505,0.487,2.5,3.2,0.772,2.3,4.3,6.6,4.8,1.1,0.8,2.0,2.2,15.3,15.5,0.524,0.22,0.242,7.1,15.2,10.8,20.0,1.5,2.2,12.0,20.3,2.3,2.7,5.0,0.09,0.5,-0.1,0.4,1.6,7.6446,6.493506493506493,2.9870129870129865,3.506493506493507,2.4,0.11330049261083742,10.6372,0.17816091954022992,0.06321839080459771,18.012422360248447,15.827586206896553,1.1578947368421053,3.4,54.350649350649356
RJ Barrett,SG,22,NYK,73,73,33.9,7.0,16.1,0.434,1.7,5.3,0.31,5.3,10.8,0.495,0.485,4.0,5.4,0.74,0.8,4.2,5.0,2.8,0.4,0.2,2.2,2.5,19.6,12.9,0.531,0.332,0.333,2.7,13.7,8.2,12.4,0.6,0.6,10.8,26.2,0.5,1.8,2.2,0.043,-1.2,-1.9,-3.1,-0.7,10.900635,3.0136986301369864,0.684931506849315,2.4657534246575343,1.2727272727272725,0.019083969465648856,13.9122,0.14159292035398233,0.07374631268436578,24.766355140186914,20.8141592920354,4.166666666666666,3.9545454545454537,31.808219178082194
Will Barton,SG,32,TOT,56,2,17.7,2.5,6.5,0.379,1.2,3.2,0.367,1.3,3.3,0.391,0.47,0.7,0.8,0.787,0.3,2.2,2.4,2.0,0.5,0.2,0.9,1.0,6.8,10.0,0.493,0.495,0.129,1.7,13.5,7.7,15.4,1.4,1.1,11.1,18.9,-0.4,0.8,0.4,0.021,-2.0,-0.6,-2.6,-0.2,14.807642,0.7142857142857143,-0.7142857142857143,1.4285714285714286,2.2222222222222223,-0.021164021164021166,9.317699999999999,0.16384180790960454,0.05649717514124294,32.98969072164949,13.830508474576272,1.4285714285714286,4.111111111111112,14.285714285714286
Charles Bassey,C,22,SAS,35,2,14.5,2.5,3.9,0.644,0.1,0.2,0.375,2.4,3.6,0.661,0.656,0.6,1.1,0.595,2.1,3.4,5.5,1.3,0.5,0.9,1.2,2.1,5.7,18.8,0.658,0.059,0.274,15.5,26.4,20.7,12.9,1.5,5.4,21.3,15.6,0.7,0.6,1.3,0.122,-0.7,1.3,0.6,0.3,2.674742,3.7142857142857144,2.0,1.7142857142857144,1.0833333333333335,0.04487179487179487,10.264800000000001,0.3310344827586207,0.14482758620689656,4.878048780487806,14.151724137931035,1.5000000000000002,2.166666666666667,32.228571428571435
Keita Bates-Diop,SF,27,SAS,67,42,21.7,3.5,6.9,0.508,0.8,2.1,0.394,2.7,4.8,0.557,0.568,1.8,2.2,0.793,1.0,2.7,3.7,1.5,0.7,0.3,0.8,0.9,9.7,14.9,0.609,0.305,0.323,4.7,14.3,9.3,9.8,1.5,1.1,9.5,16.7,2.1,0.6,2.7,0.089,0.3,-0.9,-0.6,0.5,1.87872,4.029850746268656,3.134328358208956,0.8955223880597015,1.875,0.125748502994012,10.1703,0.17050691244239632,0.041474654377880185,23.333333333333332,16.092165898617512,0.9,5.374999999999999,13.343283582089553
Nicolas Batum,PF,34,LAC,78,19,21.9,2.1,4.9,0.42,1.6,4.1,0.391,0.5,0.8,0.563,0.583,0.4,0.6,0.708,0.8,3.0,3.8,1.6,0.7,0.6,0.6,1.9,6.1,11.0,0.594,0.832,0.126,4.1,15.4,9.8,9.4,1.5,2.3,11.1,11.5,1.7,1.9,3.6,0.101,-0.8,1.2,0.5,1.0,19.700319,4.615384615384616,2.1794871794871793,2.435897435897436,2.666666666666667,0.14782608695652175,6.8309999999999995,0.19634703196347034,0.0867579908675799,45.55555555555555,10.027397260273972,1.4615384615384617,6.166666666666667,26.794871794871796
Darius Bazley,PF,22,TOT,43,1,14.3,1.9,4.3,0.454,0.5,1.2,0.377,1.5,3.0,0.485,0.508,0.9,1.6,0.543,0.8,2.4,3.2,0.9,0.5,0.8,0.6,1.0,5.2,13.1,0.524,0.29,0.383,5.8,18.5,12.1,8.3,1.7,5.1,11.2,16.4,0.1,0.9,1.0,0.078,-2.0,1.0,-0.9,0.2,4.264629,2.3255813953488373,0.23255813953488372,2.0930232558139537,1.5,0.006097560975609757,8.5936,0.25874125874125875,0.06993006993006992,21.818181818181817,13.090909090909092,0.7692307692307692,4.0,27.41860465116279
Bradley Beal,SG,29,WAS,50,50,33.5,8.9,17.6,0.506,1.6,4.4,0.365,7.3,13.2,0.552,0.551,3.8,4.6,0.842,0.8,3.1,3.9,5.4,0.9,0.7,2.9,2.1,23.2,19.7,0.593,0.249,0.26,2.8,9.9,6.5,26.6,1.3,1.7,12.9,29.2,2.2,1.2,3.4,0.099,2.9,-1.2,1.8,1.6,43.27925,6.800000000000001,4.4,2.4,1.8620689655172415,0.07534246575342467,17.3156,0.14029850746268657,0.06268656716417911,20.0,24.931343283582088,1.3125,3.6206896551724137,47.279999999999994
Malik Beasley,SG,26,TOT,81,27,25.8,4.6,11.6,0.395,2.9,8.1,0.357,1.7,3.4,0.484,0.52,0.6,0.8,0.769,0.4,3.1,3.5,1.5,0.8,0.1,1.1,1.3,12.7,10.9,0.531,0.702,0.069,1.8,12.5,7.3,8.4,1.5,0.4,8.5,21.1,-0.2,1.6,1.4,0.032,-0.9,-1.0,-2.0,0.0,15.558035,1.728395061728395,-0.24691358024691357,1.9753086419753085,1.3636363636363635,-0.009478672985781991,11.204100000000002,0.15503875968992248,0.050387596899224806,41.11675126903553,17.72093023255814,1.4444444444444444,6.8181818181818175,21.530864197530864
MarJon Beauchamp,SF,22,MIL,52,11,13.5,1.8,4.7,0.395,0.9,2.7,0.331,0.9,1.9,0.485,0.492,0.5,0.7,0.73,0.7,1.5,2.2,0.7,0.4,0.1,0.9,1.4,5.1,8.2,0.513,0.584,0.152,5.9,11.0,8.5,6.7,1.4,0.8,14.8,18.3,-0.4,0.8,0.4,0.027,-4.1,-0.6,-4.8,-0.5,2.4852,0.7692307692307693,-0.7692307692307693,1.5384615384615385,0.7777777777777777,-0.02185792349726776,9.3879,0.14814814814814814,0.1037037037037037,36.486486486486484,13.6,2.8,3.0,12.615384615384615
Dāvis Bertāns,PF,30,DAL,45,1,10.9,1.5,3.6,0.431,1.2,3.1,0.39,0.3,0.4,0.737,0.603,0.3,0.3,0.867,0.2,1.0,1.2,0.5,0.2,0.2,0.2,1.2,4.6,11.9,0.618,0.881,0.094,2.3,10.3,6.3,6.2,1.1,1.5,5.7,16.2,0.6,0.3,0.9,0.09,0.0,-1.3,-1.2,0.1,16.0,2.0,1.3333333333333333,0.6666666666666666,2.5,0.037037037037037035,10.0116,0.12844036697247704,0.11009174311926605,46.26865671641791,15.192660550458715,2.9999999999999996,13.5,7.933333333333334
Patrick Beverley,PG,34,TOT,67,67,27.1,2.1,5.4,0.4,1.2,3.6,0.335,1.0,1.8,0.529,0.511,0.7,1.0,0.723,0.7,3.0,3.7,2.9,0.9,0.6,0.9,2.8,6.2,8.9,0.534,0.664,0.181,2.7,12.0,7.5,13.3,1.7,2.0,13.4,10.6,0.8,2.1,3.0,0.079,-2.9,1.7,-1.2,0.3,13.506508,4.477611940298507,1.1940298507462688,3.134328358208956,3.222222222222222,0.07547169811320756,5.6604,0.16605166051660517,0.10332103321033209,40.0,8.236162361623615,1.8666666666666665,3.6666666666666665,27.895522388059707
Saddiq Bey,SF,23,TOT,77,37,27.6,4.6,10.9,0.422,2.0,5.4,0.361,2.6,5.4,0.483,0.513,2.7,3.1,0.861,1.3,3.4,4.7,1.5,0.9,0.2,0.9,1.6,13.8,14.6,0.564,0.5,0.285,5.0,14.0,9.4,8.1,1.6,0.5,7.0,20.2,2.6,1.2,3.9,0.087,0.9,-1.2,-0.3,0.9,2.95908,5.064935064935065,3.376623376623377,1.5584415584415585,1.6666666666666665,0.12871287128712872,11.3928,0.16304347826086957,0.057971014492753624,33.128834355828225,18.0,1.4545454545454546,7.333333333333333,22.753246753246753
Khem Birch,C,30,TOR,20,0,8.1,1.0,1.6,0.594,0.1,0.1,0.5,0.9,1.5,0.6,0.609,0.2,0.3,0.8,0.4,0.9,1.3,0.4,0.3,0.3,0.4,1.2,2.2,9.4,0.629,0.063,0.156,5.2,12.8,8.7,5.8,1.5,3.0,19.0,11.1,0.1,0.2,0.2,0.072,-4.6,1.1,-3.5,-0.1,6.6675,1.0,0.5,1.0,1.0,0.009009009009009009,6.9818999999999996,0.1851851851851852,0.14814814814814814,5.88235294117647,9.777777777777779,2.0,2.75,9.4
Goga Bitadze,C,23,TOT,38,1,12.0,1.8,3.3,0.552,0.2,0.7,0.231,1.7,2.6,0.636,0.576,0.6,1.1,0.548,1.6,2.0,3.6,1.0,0.4,0.7,0.6,1.7,4.4,17.1,0.582,0.208,0.336,15.0,18.7,16.8,12.1,1.7,5.3,13.3,15.4,0.8,0.6,1.3,0.141,-0.8,1.1,0.3,0.3,5.37752,3.421052631578948,2.1052631578947367,1.5789473684210527,1.6666666666666667,0.05194805194805195,8.9628,0.25833333333333336,0.14166666666666666,17.5,13.200000000000001,1.5454545454545452,3.3333333333333335,27.000000000000004
Bismack Biyombo,C,30,PHO,61,14,14.3,2.0,3.4,0.578,0.0,0.0,0.15,2.0,3.4,0.578,0.578,0.4,1.1,0.357,1.5,2.8,4.3,0.9,0.3,1.4,0.8,1.9,4.3,14.4,0.555,0.0,0.34,11.0,22.1,16.5,8.7,1.0,9.0,17.7,14.0,0.2,1.6,1.9,0.102,-3.4,2.5,-0.9,0.2,1.83609,3.1147540983606556,0.32786885245901637,2.622950819672131,1.125,0.014285714285714287,7.7700000000000005,0.3146853146853147,0.13286713286713286,0.0,10.825174825174825,1.1176470588235294,2.5,37.77049180327869
Bogdan Bogdanović,SG,30,ATL,54,9,27.9,5.1,11.3,0.447,2.7,6.7,0.406,2.4,4.6,0.506,0.566,1.2,1.4,0.831,0.4,2.6,3.1,2.8,0.8,0.3,1.2,1.6,14.0,14.2,0.586,0.589,0.126,1.6,10.4,6.0,13.4,1.4,1.0,9.2,19.8,1.8,1.0,2.8,0.088,1.1,-0.7,0.5,0.9,18.0,5.185185185185185,3.3333333333333335,1.8518518518518516,2.3333333333333335,0.09090909090909091,11.6028,0.13261648745519714,0.057347670250896064,37.22222222222222,18.06451612903226,1.4545454545454546,6.5,26.29629629629629
Bojan Bogdanović,PF,33,DET,59,59,32.1,7.3,14.9,0.488,2.5,6.0,0.411,4.8,9.0,0.539,0.57,4.5,5.1,0.884,0.6,3.2,3.8,2.6,0.6,0.1,2.3,1.9,21.6,17.4,0.627,0.4,0.344,2.0,11.3,6.5,13.6,0.9,0.4,11.7,25.9,3.1,0.4,3.5,0.09,2.6,-1.8,0.9,1.4,19.55,5.932203389830509,5.254237288135593,0.6779661016949153,1.1304347826086958,0.1196911196911197,16.2393,0.12149532710280374,0.05919003115264797,28.708133971291865,24.22429906542056,2.7142857142857144,4.260869565217392,11.796610169491526
Bol Bol,PF,23,ORL,70,33,21.5,3.7,6.8,0.546,0.4,1.6,0.265,3.3,5.2,0.633,0.577,1.2,1.5,0.759,1.0,4.8,5.8,1.0,0.4,1.2,1.6,1.3,9.1,14.4,0.603,0.236,0.226,5.2,25.3,15.2,6.9,1.0,5.5,17.6,18.2,0.0,2.2,2.3,0.072,-1.8,0.9,-0.9,0.4,2.2,3.2857142857142856,0.0,3.1428571428571432,0.625,0.0,10.974599999999999,0.29767441860465116,0.06046511627906977,19.047619047619047,15.237209302325581,0.8125,2.5625,45.25714285714287
Devin Booker,SG,26,PHO,53,53,34.6,9.9,20.1,0.494,2.1,6.0,0.351,7.8,14.2,0.554,0.546,5.8,6.8,0.855,0.9,3.7,4.5,5.5,1.0,0.3,2.7,3.0,27.8,22.0,0.601,0.296,0.336,2.7,12.0,7.2,27.3,1.4,0.9,10.6,31.8,4.1,1.9,6.0,0.157,4.5,-0.3,4.2,2.9,33.8334,11.320754716981133,7.735849056603773,3.5849056603773586,2.0370370370370368,0.1289308176100629,19.1118,0.1445086705202312,0.08670520231213873,22.988505747126435,28.92485549132948,2.3076923076923075,4.444444444444444,78.86792452830188
Brandon Boston Jr.,SG,21,LAC,22,1,11.3,2.3,5.5,0.418,0.5,1.3,0.414,1.8,4.2,0.419,0.467,1.3,1.7,0.763,0.3,1.0,1.4,0.9,0.4,0.0,0.5,1.0,6.5,13.4,0.515,0.238,0.311,3.2,10.3,6.8,12.5,1.8,0.0,8.0,26.5,0.0,0.2,0.2,0.04,-1.7,-0.6,-2.3,0.0,1.563518,0.9090909090909092,0.0,0.9090909090909092,1.8,0.0,13.6475,0.1238938053097345,0.08849557522123894,19.117647058823533,20.707964601769913,2.5,5.6,12.181818181818183
Chris Boucher,PF,30,TOR,76,0,20.0,3.4,7.0,0.493,0.8,2.5,0.328,2.6,4.5,0.585,0.552,1.7,2.2,0.762,2.1,3.5,5.5,0.4,0.6,0.8,0.5,1.9,9.4,18.0,0.59,0.357,0.318,10.9,21.2,15.7,2.7,1.5,4.1,6.4,18.0,3.0,2.0,5.0,0.156,0.7,-0.8,-0.1,0.7,12.69,6.578947368421052,3.9473684210526314,2.631578947368421,0.8,0.16666666666666666,10.62,0.24500000000000002,0.095,26.31578947368421,16.92,1.3571428571428572,8.4,47.368421052631575
James Bouknight,SG,22,CHO,34,0,15.1,2.0,5.7,0.358,1.0,3.2,0.303,1.1,2.5,0.429,0.443,0.6,0.9,0.667,0.2,1.9,2.1,1.2,0.4,0.1,0.9,1.4,5.6,6.2,0.463,0.565,0.155,1.6,13.5,7.5,11.1,1.3,0.8,13.4,19.5,-0.8,0.4,-0.4,-0.04,-5.4,-1.1,-6.5,-0.6,4.36224,-1.1764705882352942,-2.3529411764705883,1.1764705882352942,1.3333333333333333,-0.041025641025641026,9.028500000000001,0.15894039735099338,0.09271523178807947,35.95505617977528,13.350993377483444,2.8,3.333333333333333,7.294117647058824
Malaki Branham,SF,19,SAS,66,32,23.5,4.1,9.3,0.44,1.2,3.9,0.302,2.9,5.4,0.539,0.503,0.9,1.1,0.829,0.4,2.3,2.7,1.9,0.5,0.1,1.2,1.7,10.2,9.5,0.524,0.417,0.115,1.9,11.2,6.4,11.4,1.0,0.4,10.6,19.1,-0.4,0.2,-0.1,-0.004,-3.0,-2.1,-5.2,-1.2,2.9256,-0.15151515151515152,-0.6060606060606061,0.30303030303030304,1.5833333333333333,-0.020942408376963352,10.008400000000002,0.12340425531914893,0.07234042553191489,29.54545454545454,15.625531914893616,2.8333333333333335,4.416666666666667,2.878787878787879
Christian Braun,SG,21,DEN,76,6,15.5,1.9,3.8,0.495,0.4,1.3,0.354,1.4,2.5,0.565,0.554,0.5,0.8,0.625,0.6,1.8,2.4,0.8,0.5,0.2,0.5,1.3,4.7,10.3,0.568,0.332,0.221,4.8,12.6,8.8,6.4,1.7,1.3,9.9,13.0,0.7,1.2,1.9,0.079,-2.5,0.1,-2.4,-0.1,2.8086,2.5,0.9210526315789472,1.5789473684210527,1.6,0.05384615384615384,7.3839999999999995,0.16129032258064516,0.08387096774193549,25.490196078431378,10.916129032258064,1.8571428571428574,4.6,16.263157894736842
Mikal Bridges,SF,26,TOT,83,83,35.7,7.1,15.3,0.468,2.0,5.3,0.382,5.1,9.9,0.514,0.535,3.8,4.3,0.895,1.0,3.4,4.4,3.3,1.1,0.7,1.5,1.9,20.1,16.8,0.587,0.349,0.279,2.9,10.8,6.8,13.7,1.5,1.8,8.2,22.6,4.4,3.1,7.5,0.121,1.6,0.2,1.7,2.8,20.1,9.036144578313253,5.301204819277109,3.734939759036145,2.1999999999999997,0.19469026548672566,13.2662,0.1456582633053221,0.053221288515406154,25.728155339805824,20.26890756302521,1.0555555555555556,6.066666666666666,62.746987951807235
Oshae Brissett,SF,24,IND,65,2,16.7,1.9,4.9,0.386,0.7,2.4,0.31,1.2,2.5,0.457,0.461,1.6,2.2,0.717,1.0,2.4,3.4,0.7,0.5,0.2,0.5,1.2,6.1,10.6,0.52,0.486,0.455,6.4,16.0,11.2,5.4,1.4,1.0,8.2,16.1,0.4,0.7,1.1,0.05,-2.0,-1.2,-3.2,-0.3,1.846738,1.6923076923076925,0.6153846153846154,1.0769230769230769,1.4,0.024844720496894408,8.372000000000002,0.18562874251497005,0.0718562874251497,32.87671232876712,13.149700598802395,1.7142857142857144,5.199999999999999,11.415384615384614
Malcolm Brogdon,PG,30,BOS,67,0,26.0,5.3,10.9,0.484,2.0,4.4,0.444,3.3,6.5,0.51,0.574,2.4,2.7,0.87,0.6,3.6,4.2,3.7,0.7,0.3,1.5,1.6,14.9,18.2,0.615,0.406,0.251,2.7,14.7,8.8,21.5,1.3,0.9,10.8,22.8,3.6,2.2,5.8,0.161,2.3,0.6,2.8,2.1,22.6,8.656716417910447,5.3731343283582085,3.2835820895522394,2.466666666666667,0.15789473684210525,14.022,0.1769230769230769,0.06153846153846154,28.758169934640527,20.63076923076923,1.6,4.866666666666666,59.761194029850756
Dillon Brooks,SF,27,MEM,73,73,30.3,5.4,13.6,0.396,2.0,6.0,0.326,3.4,7.6,0.451,0.468,1.6,2.1,0.779,0.6,2.7,3.3,2.6,0.9,0.2,1.4,3.3,14.3,9.4,0.494,0.443,0.155,2.2,9.5,5.8,11.7,1.4,0.7,8.9,21.8,-0.8,2.4,1.6,0.034,-3.4,-0.5,-3.9,-1.1,11.4,2.191780821917808,-1.095890410958904,3.287671232876712,1.8571428571428574,-0.03669724770642202,10.7692,0.12541254125412543,0.1089108910891089,30.61224489795918,16.99009900990099,2.9999999999999996,5.2857142857142865,30.904109589041095
Bruce Brown,SG,26,DEN,80,31,28.5,4.5,9.3,0.483,1.1,3.2,0.358,3.3,6.1,0.548,0.545,1.5,1.9,0.758,0.8,3.3,4.1,3.4,1.1,0.6,1.5,2.4,11.5,13.3,0.571,0.343,0.206,3.3,13.0,8.3,15.7,1.9,2.0,13.2,17.8,1.7,2.6,4.3,0.09,-1.1,0.6,-0.5,0.8,6.479,5.375,2.125,3.25,2.2666666666666666,0.09550561797752809,10.1638,0.17543859649122806,0.08421052631578947,25.6,14.526315789473683,1.4117647058823528,3.733333333333333,43.225
Greg Brown III,PF,21,POR,16,0,5.8,0.7,1.8,0.393,0.1,0.4,0.143,0.6,1.3,0.476,0.411,0.3,0.8,0.417,0.1,1.1,1.2,0.2,0.3,0.3,0.4,0.8,1.8,5.8,0.421,0.25,0.429,2.5,21.2,11.7,4.5,2.1,4.8,15.3,18.4,-0.3,0.1,-0.1,-0.074,-8.5,0.0,-8.5,-0.2,1.563518,-0.625,-1.875,0.625,0.5,-0.016304347826086956,7.7463999999999995,0.2931034482758621,0.13793103448275862,18.181818181818183,11.172413793103448,1.3333333333333335,1.9999999999999998,3.625
Jaylen Brown,SF,26,BOS,67,67,35.9,10.1,20.6,0.491,2.4,7.3,0.335,7.7,13.4,0.576,0.55,3.9,5.1,0.765,1.2,5.7,6.9,3.5,1.1,0.4,2.9,2.6,26.6,19.1,0.581,0.352,0.249,3.6,17.0,10.4,16.5,1.5,0.9,11.4,31.4,1.6,3.4,5.0,0.1,1.5,-0.2,1.3,2.0,28.741071,7.462686567164178,2.3880597014925375,5.074626865671641,1.206896551724138,0.050955414012738856,18.243399999999998,0.20055710306406688,0.07242339832869081,26.164874551971323,26.674094707520894,1.7333333333333334,4.310344827586207,96.92537313432835
